RSRP,SNR,CQI,RSSI,RSRQ,STATE
-106,1,8,-90,-13,1
-107,0,8,-90,-14,1
-107,0,8,-90,-14,1
-101,7,6,-82,-13,1
-101,7,6,-82,-13,1
-99,5,6,-82,-12,1
-99,6,6,-82,-13,1
-106,3,6,-88,-14,1
-105,2,9,-88,-13,1
-105,2,5,-90,-13,1
-105,2,7,-90,-13,1
-105,3,8,-88,-13,1
